werkorder_id,datum,tag,equipment_type,systeem,locatie,werkorder_type,prioriteit,faalmodus,beschrijving,responstijd_uur,reparatietijd_uur,stilstandtijd_uur,materiaalkosten_EUR,arbeidskosten_EUR,totaalkosten_EUR,terugkerend
WO-00010,2025-01-04,VEN-836,ventilator,mechanisch,Unit_100,preventief,medium,lekkage,"Storing op VEN-836 (ventilator) in Unit_100. Symptoom: lekkage. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",17.8,2.4,0.7,67.0,124.0,192.0,1
WO-00011,2024-08-30,TEM-732,temperatuursensor,instrumentatie,Unit_300,correctief,laag,defect,Melding ontvangen: temperatuursensor TEM-732 functioneert niet correct. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,6.5,18.4,13.7,117.0,1163.0,1280.0,0
WO-00012,2024-06-14,CEN-553,centrifuge,mechanisch,Unit_300,inspectie,medium,storing,Storing op CEN-553 (centrifuge) in Unit_300. Symptoom: storing. Root cause analyse uitgevoerd: storing. Preventieve maatregel ingevoerd.,21.6,3.1,0.9,107.0,171.0,278.0,0
WO-00013,2025-05-20,NIV-112,niveaumeter,instrumentatie,Utiliteiten,preventief,hoog,slijtage,"Melding ontvangen: niveaumeter NIV-112 functioneert niet correct. Vervangen door nieuw onderdeel, getest en vrijgegeven.",1.3,2.7,0.8,642.0,173.0,814.0,0
WO-00014,2024-07-08,DRU-562,druktransmitter,instrumentatie,Unit_400,preventief,laag,storing,Tijdens ronde geconstateerd: storing bij DRU-562. Root cause analyse uitgevoerd: storing. Preventieve maatregel ingevoerd.,7.0,3.2,0.9,127.0,215.0,342.0,0
WO-00015,2024-05-04,KLE-229,klep,instrumentatie,Unit_200,preventief,medium,lekkage,"Tijdens ronde geconstateerd: lekkage bij KLE-229. Elektrische metingen uitgevoerd: isolatie 51.30530493423017 MOhm, binnen spec.",13.3,3.9,1.2,95.0,194.0,289.0,0
WO-00016,2024-06-21,CEN-335,centrifuge,mechanisch,Utiliteiten,predictief,hoog,storing,"Melding ontvangen: centrifuge CEN-335 functioneert niet correct. Elektrische metingen uitgevoerd: isolatie 363.23035567872677 MOhm, binnen spec.",5.8,2.9,0.9,315.0,158.0,473.0,0
WO-00017,2025-01-26,CEN-407,centrifuge,mechanisch,Unit_300,predictief,hoog,lekkage,"Storing op CEN-407 (centrifuge) in Unit_300. Symptoom: lekkage. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",10.7,0.2,0.1,184.0,11.0,195.0,0
WO-00018,2024-10-21,DRU-659,druktransmitter,instrumentatie,Unit_400,correctief,laag,slijtage,"Storing op DRU-659 (druktransmitter) in Unit_400. Symptoom: slijtage. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",45.9,2.4,2.8,181.0,129.0,310.0,1
WO-00019,2025-03-15,POM-474,pomp,mechanisch,Unit_200,correctief,medium,impeller slijtage,Melding ontvangen: pomp POM-474 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 18.418409287042955 bar.,3.4,14.2,17.5,55.0,1018.0,1073.0,0
WO-00020,2024-07-11,PAK-640,pakking,piping,Unit_400,preventief,hoog,veroudering,Melding ontvangen: pakking PAK-640 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 34.37151154747184 bar.,3.5,6.2,1.9,215.0,310.0,525.0,0
WO-00021,2024-10-26,SEN-863,sensor,elektrisch,Unit_200,predictief,medium,breuk,"Melding ontvangen: sensor SEN-863 functioneert niet correct. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",12.0,2.6,0.8,66.0,140.0,206.0,0
WO-00022,2024-01-08,PLC-745,PLC,elektrisch,Unit_200,preventief,medium,slijtage,Alarming op DCS voor PLC-745: slijtage gedetecteerd. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 23.02707654805664 bar.,14.4,17.7,5.3,572.0,1065.0,1638.0,0
WO-00023,2024-02-09,TRA-849,transportband,mechanisch,Unit_200,predictief,medium,veroudering,"Operator meldt abnormaal geluid/trilling bij TRA-849 (transportband). Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",4.1,6.1,1.8,756.0,417.0,1173.0,0
WO-00024,2025-12-13,MOT-373,motor,elektrisch,Utiliteiten,inspectie,medium,isolatie defect,"Storing op MOT-373 (motor) in Utiliteiten. Symptoom: isolatie defect. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",0.0,3.0,0.9,134.0,224.0,358.0,0
WO-00025,2025-12-27,FLO-582,flowmeter,instrumentatie,Unit_200,correctief,laag,storing,"Melding ontvangen: flowmeter FLO-582 functioneert niet correct. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",95.3,0.6,0.7,725.0,36.0,761.0,0
WO-00026,2025-05-15,FRE-980,frequentieregelaar,elektrisch,Unit_200,preventief,hoog,defect,"Storing op FRE-980 (frequentieregelaar) in Unit_200. Symptoom: defect. Onderdeel besteld, verwachte levertijd 27 dagen. Bypass ingeschakeld.",0.6,2.9,0.9,246.0,224.0,471.0,0
WO-00027,2025-11-12,SEN-944,sensor,elektrisch,Unit_200,preventief,kritiek,kalibratie fout,Tijdens ronde geconstateerd: kalibratie fout bij SEN-944. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,4.3,3.6,1.1,102.0,243.0,345.0,0
WO-00028,2024-08-22,DRU-380,druktransmitter,instrumentatie,Unit_400,preventief,laag,veroudering,"Storing op DRU-380 (druktransmitter) in Unit_400. Symptoom: veroudering. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",57.5,1.9,0.6,109.0,102.0,211.0,0
WO-00029,2024-10-20,POM-800,pomp,mechanisch,Unit_100,predictief,hoog,afdichtingslek,"Storing op POM-800 (pomp) in Unit_100. Symptoom: afdichtingslek. Vervangen door nieuw onderdeel, getest en vrijgegeven.",5.3,2.6,0.8,105.0,144.0,249.0,0
WO-00030,2025-11-27,TRA-335,transformator,elektrisch,Unit_400,inspectie,laag,slijtage,Melding ontvangen: transformator TRA-335 functioneert niet correct. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 14.149340375623808 bar.,10.5,0.2,0.1,67.0,13.0,80.0,1
WO-00031,2025-05-01,DRU-602,druktransmitter,instrumentatie,Unit_400,correctief,kritiek,storing,Storing op DRU-602 (druktransmitter) in Unit_400. Symptoom: storing. Root cause analyse uitgevoerd: storing. Preventieve maatregel ingevoerd.,0.4,0.5,0.7,114.0,35.0,149.0,0
WO-00032,2024-12-20,SCH-943,schakelaar,elektrisch,Unit_100,correctief,hoog,veroudering,Alarming op DCS voor SCH-943: veroudering gedetecteerd. Root cause analyse uitgevoerd: veroudering. Preventieve maatregel ingevoerd.,7.6,14.3,11.9,616.0,898.0,1514.0,0
WO-00033,2024-09-18,TRA-805,transformator,elektrisch,Unit_100,verbetering,hoog,slijtage,"Operator meldt abnormaal geluid/trilling bij TRA-805 (transformator). Vervangen door nieuw onderdeel, getest en vrijgegeven.",3.1,11.9,3.6,129.0,865.0,994.0,1
WO-00034,2024-10-28,FLO-840,flowmeter,instrumentatie,Unit_200,verbetering,medium,slijtage,"Alarming op DCS voor FLO-840: slijtage gedetecteerd. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",8.6,13.1,3.9,250.0,984.0,1234.0,1
WO-00035,2024-11-23,POM-892,pomp,mechanisch,Unit_400,verbetering,medium,motor oververhitting,"Tijdens ronde geconstateerd: motor oververhitting bij POM-892. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",15.6,1.3,0.4,216.0,93.0,309.0,1
WO-00036,2025-11-07,ANA-125,analyzer,instrumentatie,Utiliteiten,correctief,hoog,storing,"Storing op ANA-125 (analyzer) in Utiliteiten. Symptoom: storing. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",4.4,16.2,21.1,425.0,988.0,1412.0,0
WO-00037,2025-04-03,SEN-352,sensor,elektrisch,Unit_200,verbetering,hoog,bevriezing,"Melding ontvangen: sensor SEN-352 functioneert niet correct. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",10.9,3.2,1.0,359.0,197.0,556.0,0
WO-00038,2025-06-19,TRA-126,transportband,mechanisch,Unit_300,correctief,hoog,veroudering,"Storing op TRA-126 (transportband) in Unit_300. Symptoom: veroudering. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",1.6,2.3,3.5,348.0,117.0,465.0,0
WO-00039,2024-01-08,MOT-527,motor,elektrisch,Utiliteiten,preventief,medium,oververhitting,"Alarming op DCS voor MOT-527: oververhitting gedetecteerd. Elektrische metingen uitgevoerd: isolatie 103.660919344059 MOhm, binnen spec.",5.4,0.0,0.0,468.0,1.0,468.0,1
WO-00040,2024-09-05,SCH-279,schakelaar,elektrisch,Unit_100,predictief,kritiek,slijtage,"Storing op SCH-279 (schakelaar) in Unit_100. Symptoom: slijtage. Vervangen door nieuw onderdeel, getest en vrijgegeven.",0.5,5.3,1.6,142.0,399.0,542.0,0
WO-00041,2024-12-05,FRE-758,frequentieregelaar,elektrisch,Utiliteiten,inspectie,hoog,defect,"Melding ontvangen: frequentieregelaar FRE-758 functioneert niet correct. Gekalibreerd volgens SOP-505, resultaten binnen spec.",0.3,4.0,1.2,428.0,296.0,724.0,0
WO-00042,2024-09-30,FLE-495,flens,piping,Unit_100,verbetering,medium,lekkage,"Tijdens ronde geconstateerd: lekkage bij FLE-495. Onderdeel besteld, verwachte levertijd 21 dagen. Bypass ingeschakeld.",5.5,17.6,5.3,129.0,1281.0,1410.0,0
WO-00043,2024-05-29,TRA-467,transportband,mechanisch,Unit_300,correctief,hoog,defect,Tijdens ronde geconstateerd: defect bij TRA-467. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 23.038147920720025 bar.,0.3,1.8,1.8,199.0,117.0,316.0,0
WO-00044,2024-06-14,SEN-123,sensor,elektrisch,Utiliteiten,verbetering,kritiek,kalibratie fout,"Melding ontvangen: sensor SEN-123 functioneert niet correct. Vervangen door nieuw onderdeel, getest en vrijgegeven.",0.7,9.3,2.8,157.0,578.0,735.0,0
WO-00045,2025-07-22,ROE-923,roerder,mechanisch,Unit_200,inspectie,laag,lekkage,"Melding ontvangen: roerder ROE-923 functioneert niet correct. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",34.8,7.5,2.2,308.0,451.0,759.0,1
WO-00046,2025-10-18,SEN-201,sensor,elektrisch,Utiliteiten,preventief,medium,breuk,Operator meldt abnormaal geluid/trilling bij SEN-201 (sensor). Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 20.936764201187167 bar.,2.6,0.0,0.0,636.0,3.0,639.0,0
WO-00047,2024-08-29,TRA-700,transportband,mechanisch,Unit_400,correctief,hoog,veroudering,"Tijdens ronde geconstateerd: veroudering bij TRA-700. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",1.0,5.9,7.0,372.0,347.0,718.0,1
WO-00048,2024-05-02,TEM-186,temperatuursensor,instrumentatie,Unit_300,predictief,hoog,veroudering,Tijdens ronde geconstateerd: veroudering bij TEM-186. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 39.4987287465326 bar.,4.3,1.6,0.5,194.0,118.0,312.0,1
WO-00049,2024-06-29,PAK-311,pakking,piping,Unit_400,verbetering,kritiek,lekkage,"Melding ontvangen: pakking PAK-311 functioneert niet correct. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",0.3,9.5,2.9,487.0,706.0,1193.0,0
WO-00050,2025-08-05,APP-547,appendage,piping,Unit_200,preventief,laag,slijtage,"Tijdens ronde geconstateerd: slijtage bij APP-547. Gekalibreerd volgens SOP-954, resultaten binnen spec.",2.9,7.2,2.2,83.0,551.0,634.0,1
WO-00051,2024-09-05,SEN-596,sensor,elektrisch,Unit_200,correctief,kritiek,drift,"Melding ontvangen: sensor SEN-596 functioneert niet correct. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",0.7,4.0,2.9,256.0,217.0,473.0,0
WO-00052,2025-06-15,POM-930,pomp,mechanisch,Unit_100,verbetering,hoog,afdichtingslek,"Storing op POM-930 (pomp) in Unit_100. Symptoom: afdichtingslek. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",0.8,1.2,0.4,149.0,93.0,242.0,1
WO-00053,2024-11-02,FRE-863,frequentieregelaar,elektrisch,Unit_300,correctief,medium,veroudering,"Melding ontvangen: frequentieregelaar FRE-863 functioneert niet correct. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",3.4,20.1,11.6,85.0,1376.0,1460.0,0
WO-00054,2024-01-08,FLO-451,flowmeter,instrumentatie,Unit_300,correctief,medium,veroudering,"Melding ontvangen: flowmeter FLO-451 functioneert niet correct. Elektrische metingen uitgevoerd: isolatie 186.14969857283208 MOhm, binnen spec.",4.1,0.6,0.7,57.0,42.0,100.0,0
WO-00055,2024-07-13,LEI-904,leiding,piping,Unit_400,correctief,laag,storing,"Tijdens ronde geconstateerd: storing bij LEI-904. Onderdeel besteld, verwachte levertijd 21 dagen. Bypass ingeschakeld.",73.9,9.9,12.5,340.0,655.0,995.0,0
WO-00056,2024-06-26,SEN-664,sensor,elektrisch,Unit_200,correctief,laag,kortsluiting,"Operator meldt abnormaal geluid/trilling bij SEN-664 (sensor). Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",10.5,4.5,4.3,278.0,324.0,603.0,0
WO-00057,2024-04-08,FIL-817,filter,piping,Utiliteiten,correctief,hoog,slijtage,"Tijdens ronde geconstateerd: slijtage bij FIL-817. Vervangen door nieuw onderdeel, getest en vrijgegeven.",8.7,1.1,1.6,281.0,68.0,348.0,0
WO-00058,2025-05-08,POM-325,pomp,mechanisch,Unit_400,correctief,laag,motor oververhitting,"Tijdens ronde geconstateerd: motor oververhitting bij POM-325. Vervangen door nieuw onderdeel, getest en vrijgegeven.",32.4,3.0,3.8,175.0,229.0,403.0,1
WO-00059,2024-11-25,ROE-811,roerder,mechanisch,Unit_400,preventief,medium,lekkage,"Melding ontvangen: roerder ROE-811 functioneert niet correct. Gekalibreerd volgens SOP-561, resultaten binnen spec.",5.0,1.8,0.5,185.0,127.0,312.0,1
WO-00060,2025-10-21,COM-903,compressor,mechanisch,Unit_200,preventief,kritiek,surge,Melding ontvangen: compressor COM-903 functioneert niet correct. Root cause analyse uitgevoerd: surge. Preventieve maatregel ingevoerd.,0.7,7.7,2.3,653.0,390.0,1043.0,0
WO-00061,2024-10-01,TRA-432,transportband,mechanisch,Unit_400,inspectie,medium,lekkage,Storing op TRA-432 (transportband) in Unit_400. Symptoom: lekkage. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 33.43737743062925 bar.,17.5,10.0,3.0,195.0,516.0,711.0,0
WO-00062,2025-01-05,FIL-802,filter,piping,Unit_400,predictief,kritiek,slijtage,"Tijdens ronde geconstateerd: slijtage bij FIL-802. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",0.7,8.6,2.6,135.0,662.0,797.0,1
WO-00063,2024-11-15,CEN-359,centrifuge,mechanisch,Unit_200,preventief,hoog,veroudering,"Melding ontvangen: centrifuge CEN-359 functioneert niet correct. Gekalibreerd volgens SOP-362, resultaten binnen spec.",2.5,9.9,3.0,130.0,631.0,761.0,0
WO-00064,2024-04-29,FLE-456,flens,piping,Unit_200,predictief,medium,lekkage,"Operator meldt abnormaal geluid/trilling bij FLE-456 (flens). Vervangen door nieuw onderdeel, getest en vrijgegeven.",11.2,1.2,0.4,198.0,62.0,260.0,0
WO-00065,2024-08-11,MOT-941,motor,elektrisch,Utiliteiten,inspectie,hoog,oververhitting,Storing op MOT-941 (motor) in Utiliteiten. Symptoom: oververhitting. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,10.6,0.1,0.0,56.0,3.0,59.0,0
WO-00066,2024-08-25,FLO-660,flowmeter,instrumentatie,Utiliteiten,predictief,laag,defect,"Melding ontvangen: flowmeter FLO-660 functioneert niet correct. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",15.4,0.9,0.3,250.0,56.0,306.0,0
WO-00067,2024-09-25,SCH-723,schakelaar,elektrisch,Unit_100,correctief,medium,slijtage,"Storing op SCH-723 (schakelaar) in Unit_100. Symptoom: slijtage. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",7.8,9.4,8.8,474.0,581.0,1055.0,0
WO-00068,2024-06-20,TRA-819,transportband,mechanisch,Utiliteiten,preventief,medium,defect,"Storing op TRA-819 (transportband) in Utiliteiten. Symptoom: defect. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",11.3,0.8,0.2,147.0,42.0,189.0,0
WO-00069,2024-02-05,KLE-195,klep,instrumentatie,Utiliteiten,predictief,hoog,lekkage,Tijdens ronde geconstateerd: lekkage bij KLE-195. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 30.869412950257907 bar.,0.1,0.8,0.2,668.0,60.0,729.0,0
WO-00070,2025-09-26,VEN-546,ventilator,mechanisch,Unit_400,verbetering,hoog,storing,"Tijdens ronde geconstateerd: storing bij VEN-546. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",3.9,5.0,1.5,64.0,317.0,381.0,0
WO-00071,2024-06-22,POM-190,pomp,mechanisch,Unit_200,preventief,kritiek,impeller slijtage,"Storing op POM-190 (pomp) in Unit_200. Symptoom: impeller slijtage. Elektrische metingen uitgevoerd: isolatie 314.0578415523565 MOhm, binnen spec.",0.6,0.5,0.1,87.0,38.0,125.0,0
WO-00072,2025-01-18,ROE-245,roerder,mechanisch,Unit_100,predictief,hoog,veroudering,"Storing op ROE-245 (roerder) in Unit_100. Symptoom: veroudering. Gekalibreerd volgens SOP-295, resultaten binnen spec.",0.8,0.1,0.0,338.0,9.0,348.0,0
WO-00073,2024-02-19,SEN-845,sensor,elektrisch,Unit_200,preventief,laag,drift,Operator meldt abnormaal geluid/trilling bij SEN-845 (sensor). Root cause analyse uitgevoerd: drift. Preventieve maatregel ingevoerd.,125.0,0.8,0.2,360.0,42.0,402.0,0
WO-00074,2025-08-14,COM-883,compressor,mechanisch,Unit_300,inspectie,hoog,lager defect,"Tijdens ronde geconstateerd: lager defect bij COM-883. Schoongemaakt en geinspecteerd, geen verdere actie nodig.",3.4,0.2,0.1,205.0,12.0,217.0,0
WO-00075,2025-01-21,COM-242,compressor,mechanisch,Unit_100,preventief,medium,klep defect,"Melding ontvangen: compressor COM-242 functioneert niet correct. Tijdelijke reparatie uitgevoerd, definitieve reparatie gepland voor volgende stop.",3.1,1.0,0.3,72.0,73.0,144.0,0
WO-00076,2024-10-17,POM-908,pomp,mechanisch,Unit_100,inspectie,hoog,motor oververhitting,Operator meldt abnormaal geluid/trilling bij POM-908 (pomp). Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 38.74034952241292 bar.,5.4,2.6,0.8,199.0,180.0,379.0,1
WO-00077,2024-02-10,PLC-885,PLC,elektrisch,Utiliteiten,correctief,hoog,defect,"Operator meldt abnormaal geluid/trilling bij PLC-885 (PLC). Onderdeel besteld, verwachte levertijd 26 dagen. Bypass ingeschakeld.",3.1,20.0,13.6,877.0,1580.0,2458.0,0
WO-00078,2025-01-28,ANA-989,analyzer,instrumentatie,Unit_200,predictief,medium,lekkage,"Tijdens ronde geconstateerd: lekkage bij ANA-989. Elektrische metingen uitgevoerd: isolatie 444.5556732887662 MOhm, binnen spec.",46.9,2.8,0.8,247.0,216.0,463.0,0
WO-00079,2025-03-04,COM-115,compressor,mechanisch,Unit_400,preventief,hoog,olie lek,"Operator meldt abnormaal geluid/trilling bij COM-115 (compressor). Elektrische metingen uitgevoerd: isolatie 103.65237768731373 MOhm, binnen spec.",7.0,0.8,0.2,122.0,59.0,181.0,0
WO-00080,2024-10-03,DRU-321,druktransmitter,instrumentatie,Unit_100,correctief,laag,lekkage,"Storing op DRU-321 (druktransmitter) in Unit_100. Symptoom: lekkage. Onderdeel besteld, verwachte levertijd 11 dagen. Bypass ingeschakeld.",25.3,2.3,2.3,56.0,117.0,173.0,0
WO-00081,2024-07-16,FLO-910,flowmeter,instrumentatie,Unit_400,preventief,hoog,veroudering,"Storing op FLO-910 (flowmeter) in Unit_400. Symptoom: veroudering. Vervangen door nieuw onderdeel, getest en vrijgegeven.",2.3,5.8,1.7,117.0,433.0,550.0,0
WO-00082,2025-08-09,FLE-309,flens,piping,Utiliteiten,preventief,hoog,storing,"Storing op FLE-309 (flens) in Utiliteiten. Symptoom: storing. Elektrische metingen uitgevoerd: isolatie 324.2837188991673 MOhm, binnen spec.",10.8,0.6,0.2,98.0,38.0,136.0,1
WO-00083,2025-12-29,SEN-643,sensor,elektrisch,Unit_100,preventief,laag,bevriezing,"Alarming op DCS voor SEN-643: bevriezing gedetecteerd. Vervangen door nieuw onderdeel, getest en vrijgegeven.",45.8,0.2,0.1,54.0,13.0,67.0,0
WO-00084,2024-07-17,TRA-217,transformator,elektrisch,Unit_300,correctief,medium,lekkage,Tijdens ronde geconstateerd: lekkage bij TRA-217. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 10.942410165964201 bar.,10.1,2.5,1.5,275.0,188.0,463.0,0
WO-00085,2024-10-11,VEN-841,ventilator,mechanisch,Utiliteiten,preventief,medium,lekkage,"Alarming op DCS voor VEN-841: lekkage gedetecteerd. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",1.6,5.3,1.6,378.0,294.0,672.0,0
WO-00086,2024-01-03,CEN-653,centrifuge,mechanisch,Unit_400,inspectie,medium,defect,"Alarming op DCS voor CEN-653: defect gedetecteerd. Gerepareerd ter plaatse, lager vervangen en uitgelijnd.",0.7,1.9,0.6,167.0,111.0,278.0,0
WO-00087,2025-03-06,LEI-665,leiding,piping,Unit_300,preventief,laag,slijtage,"Operator meldt abnormaal geluid/trilling bij LEI-665 (leiding). Vervangen door nieuw onderdeel, getest en vrijgegeven.",33.4,1.1,0.3,107.0,85.0,193.0,0
WO-00088,2024-03-25,KLE-161,klep,instrumentatie,Utiliteiten,correctief,hoog,sticking,"Tijdens ronde geconstateerd: sticking bij KLE-161. Onderdeel besteld, verwachte levertijd 17 dagen. Bypass ingeschakeld.",9.7,17.1,15.1,123.0,1041.0,1164.0,1
WO-00089,2024-12-10,KLE-466,klep,instrumentatie,Utiliteiten,correctief,medium,sticking,"Tijdens ronde geconstateerd: sticking bij KLE-466. Vervangen door nieuw onderdeel, getest en vrijgegeven.",24.5,0.8,1.0,777.0,49.0,827.0,0
WO-00090,2025-09-10,NIV-528,niveaumeter,instrumentatie,Unit_400,preventief,medium,slijtage,Tijdens ronde geconstateerd: slijtage bij NIV-528. Root cause analyse uitgevoerd: slijtage. Preventieve maatregel ingevoerd.,6.7,6.1,1.8,64.0,489.0,553.0,0
WO-00091,2024-05-18,SEN-193,sensor,elektrisch,Utiliteiten,correctief,kritiek,breuk,"Operator meldt abnormaal geluid/trilling bij SEN-193 (sensor). Onderdeel besteld, verwachte levertijd 19 dagen. Bypass ingeschakeld.",1.4,0.5,0.5,126.0,36.0,162.0,0
WO-00092,2025-10-10,CEN-743,centrifuge,mechanisch,Unit_100,predictief,laag,defect,Storing op CEN-743 (centrifuge) in Unit_100. Symptoom: defect. Lekkage afgedicht met nieuwe pakking. Leidingtest uitgevoerd bij 26.63235609085814 bar.,33.9,1.5,0.4,364.0,114.0,479.0,0
WO-00093,2025-02-18,NIV-333,niveaumeter,instrumentatie,Unit_400,correctief,medium,lekkage,"Operator meldt abnormaal geluid/trilling bij NIV-333 (niveaumeter). Onderdeel besteld, verwachte levertijd 11 dagen. Bypass ingeschakeld.",5.9,13.4,16.1,221.0,867.0,1088.0,0
WO-00094,2024-05-28,TRA-225,transportband,mechanisch,Utiliteiten,preventief,hoog,slijtage,Operator meldt abnormaal geluid/trilling bij TRA-225 (transportband). Root cause analyse uitgevoerd: slijtage. Preventieve maatregel ingevoerd.,8.4,4.9,1.5,857.0,309.0,1165.0,0
WO-00095,2025-04-15,VEN-411,ventilator,mechanisch,Utiliteiten,inspectie,kritiek,slijtage,"Storing op VEN-411 (ventilator) in Utiliteiten. Symptoom: slijtage. Vervangen door nieuw onderdeel, getest en vrijgegeven.",0.5,1.0,0.3,69.0,52.0,121.0,0
WO-00096,2024-03-29,COM-227,compressor,mechanisch,Unit_300,predictief,medium,lager defect,Melding ontvangen: compressor COM-227 functioneert niet correct. Storingsanalyse met trilingsmetingen uitgevoerd. Aanbeveling: vervangen bij volgende stop.,20.9,2.7,0.8,166.0,184.0,350.0,0
